Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Slaves died during middle passage
1,Pastora de Lima,Rio de Janeiro,Mozambique,"Bahia, port unspecified",1817,290,114
2,Tibério,"Bahia, port unspecified",Mozambique,"Bahia, port unspecified",1817,223,
3,Paquete Real,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,350,55
4,Bom Caminho,"Bahia, port unspecified",Quilimane,"Bahia, port unspecified",1817,342,39
5,Benigretta,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,516,
6,Voador,"Bahia, port unspecified",Mozambique,"Bahia, port unspecified",1817,515,
7,Formiga,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",1817,204,
8,Vigilante Africano,"Pernambuco, port unspecified",Luanda,"Bahia, port unspecified",1817,374,
9,Constante,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,345,23
10,Comerciante,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,478,3
11,Diligente,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,180,
12,Bonfim,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,542,138
13,Triunfo,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1817,503,
14,S Lourenço,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,471,
15,Paquete da Bahia,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,478,
16,Sociedade,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,393,
17,Famoso Ateneu,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,545,54
18,Trajano,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,459,4
19,Maria,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,457,62
20,Bonfim,Rio de Janeiro,Benguela,Rio de Janeiro,1817,598,16
21,Esgueira,Rio de Janeiro,Quilimane,Rio de Janeiro,1817,521,86
22,Caçador,Rio de Janeiro,Luanda,Rio de Janeiro,1817,570,24
23,Flor do Rio,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1817,388,123
24,Pastora,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,1817,114,
25,Emília,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,415,29
26,S Pedro do Sul,Rio de Janeiro,Benguela,Rio de Janeiro,1817,428,14
27,Diligente,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,129,8
28,S João Americano,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,524,73
29,Grão Penedo,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,487,59
30,Mariana Dáfne,Rio de Janeiro,Luanda,Rio de Janeiro,1817,307,14
31,Resolução,Rio de Janeiro,Mozambique,Rio de Janeiro,1817,354,47
32,Serpente,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,429,10
33,Lusitânia,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,649,89
34,Reino do Brasil,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,352,75
35,Maria Tomásia,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1817,368,20
36,S José Diligente Vulcano,Rio de Janeiro,Luanda,Rio de Janeiro,1817,409,11
37,General Silveira,Rio de Janeiro,Benguela,Rio de Janeiro,1817,436,64
38,NS do Livramento Telêmaco,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,481,60
39,Amália,Rio de Janeiro,Luanda,Rio de Janeiro,1817,776,37
40,Diligente,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,393,73
41,Tejo,Rio de Janeiro,Luanda,Rio de Janeiro,1817,417,73
42,Flor do Mar,Rio de Janeiro,Luanda,Rio de Janeiro,1817,456,84
43,Feliz Dias,"Bahia, port unspecified",Luanda,Rio de Janeiro,1817,214,68
44,Leopoldina,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,441,48
45,S Rosa,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,439,25
46,Golfinho,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,399,77
47,Bonfim,Rio de Janeiro,Benguela,Rio de Janeiro,1817,574,30
48,Caçador,Rio de Janeiro,Luanda,Rio de Janeiro,1817,557,37
49,Mercúrio,Rio de Janeiro,Benguela,Rio de Janeiro,1817,489,7
50,Patrocínio,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,302,22
51,Voador,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,376,6
52,Pequena Aventura,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,214,25
53,NS dos Remédios,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,215,14
54,Maria,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1817,500,30
55,Duque de Bragança,Rio de Janeiro,Mozambique,Rio de Janeiro,1817,537,69
56,S Pedro do Sul,Rio de Janeiro,Benguela,Rio de Janeiro,1817,435,10
57,Triunfo do Brasil,Lisbon,Luanda,Rio de Janeiro,1817,611,26
58,Protetor General,Rio de Janeiro,Mozambique,Rio de Janeiro,1817,468,339
59,Trajano,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,417,32
60,Feliz Americano,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,400,19
61,Pérola do Norte,Rio de Janeiro,Mozambique,Rio de Janeiro,1818,260,161
62,Esgueira,Rio de Janeiro,Quilimane,Cabo de Buzios,1818,500,84
63,Feliz Eugênia,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,596,37
64,Reino do Brasil,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1818,385,15
65,Ligeiro,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,433,8
66,Conde da Barca,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1818,430,21
67,Grão Penedo,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,420,8
68,Serpente,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,414,24
69,Pastora de Lima,Rio de Janeiro,Mozambique,Rio de Janeiro,1818,400,79
70,Aurora do Cabo,Rio de Janeiro,Quilimane,Rio de Janeiro,1818,341,89
71,Mariana Dáfne,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,326,19
72,NS do Livramento Telêmaco,Rio de Janeiro,Benguela,Rio de Janeiro,1818,509,32
73,Triunfo do Rio,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1818,495,27
74,Famoso Ateneu,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,344,26
75,Feliz Carlota,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,187,38
76,S José Diligente,Rio de Janeiro,Quilimane,Rio de Janeiro,1818,226,238
77,Ana do Rio,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,317,24
78,Lusitânia,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,621,48
79,Amizade,Rio de Janeiro,Luanda,Rio de Janeiro,1818,428,59
80,S João Americano,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1818,329,62
81,Saudade do Sul,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1818,259,27
82,Delfina,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1818,274,135
83,Olímpia,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,368,73
84,Voadora,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,424,39
85,S José Diligente Vulcano,Rio de Janeiro,Luanda,Rio de Janeiro,1818,385,59
86,Maria Tomásia,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,281,24
87,União Feliz,Rio de Janeiro,Mozambique,Rio de Janeiro,1818,430,229
88,Emília,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,290,102
89,S Rosa,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1818,293,7
90,Príncipe Real,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,319,105
91,Amália,Rio de Janeiro,Luanda,Rio de Janeiro,1818,751,65
92,Bonfim,Rio de Janeiro,Benguela,Rio de Janeiro,1818,540,32
93,General Silveira,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,391,14
94,Voador,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,365,2
95,Patrocínio,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,239,
96,Maria,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1818,467,13
97,Elisa,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,282,6
98,Diligente,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,100,18
99,Luís,Rio de Janeiro,Luanda,Rio de Janeiro,1818,513,56
100,S Pedro do Sul,Rio de Janeiro,Benguela,Rio de Janeiro,1818,431,9
101,Feliz Americano,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,290,1
102,Ludovino,Rio de Janeiro,Congo River,Rio de Janeiro,1818,407,1
103,Reino do Brasil,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,334,1
104,Ligeiro,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,324,
105,Feliz Eugênia,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,479,4
106,Mercúrio,Rio de Janeiro,Benguela,Rio de Janeiro,1818,480,12
107,Ásia,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,328,6
108,Feliz Carlota,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1818,265,
109,Esgueira,Rio de Janeiro,Mozambique,Rio de Janeiro,1818,396,148
110,Leopoldina,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,316,15
111,Serpente,Rio de Janeiro,Mozambique,Rio de Janeiro,1818,293,82
134,S José Americano,Rio de Janeiro,Cabinda,Rio de Janeiro,1822,750,58
135,Golfinho,Rio de Janeiro,Cabinda,Rio de Janeiro,1822,417,
136,Aurora do Cabo,Rio de Janeiro,Mozambique,Rio de Janeiro,1822,298,194
137,S Filipe Londoffe,"Bahia, port unspecified",Mozambique,Rio de Janeiro,1822,413,15
138,Paquete do Rio,Rio de Janeiro,Cabinda,Rio de Janeiro,1822,460,10
139,Liberal,"Southeast Brazil, port unspecified",Congo River,Rio de Janeiro,1822,145,
140,Amazona,Rio de Janeiro,Mozambique,Rio de Janeiro,1822,422,43
141,NS da Conceição Esperança,Santos,Mozambique,Rio de Janeiro,1822,265,124
142,Pastora de Lima,Rio de Janeiro,Luanda,Rio de Janeiro,1822,407,60
143,Esperança,Rio de Janeiro,Benguela,Rio de Janeiro,1822,402,29
144,Triunfo do Brasil,Rio de Janeiro,Mozambique,Rio de Janeiro,1822,401,131
145,NS da Guia,Rio de Janeiro,Quilimane,Rio de Janeiro,1822,436,93
146,Maria Tomásia,Rio de Janeiro,Luanda,Rio de Janeiro,1822,410,60
147,Ulisses,Rio de Janeiro,Mozambique,Rio de Janeiro,1822,418,213
148,Trajano,Rio de Janeiro,Cabinda,Rio de Janeiro,1822,460,2
149,Zéfiro,Rio de Janeiro,Quilimane,Rio de Janeiro,1822,483,21
150,Mercúrio,Rio de Janeiro,Benguela,Rio de Janeiro,1822,384,36
151,Leopoldina,Rio de Janeiro,Quilimane,Rio de Janeiro,1822,448,33
152,Mariana,Rio de Janeiro,Mozambique,Rio de Janeiro,1822,380,140
153,Minerva,Rio de Janeiro,Quilimane,Rio de Janeiro,1822,475,102
154,Príncipe Regente,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1822,664,17
155,Príncipe Real Duque de Bragança,"Pernambuco, port unspecified",Benguela,Rio de Janeiro,1822,,
156,Vinte e Seis de Fevereiro,Rio de Janeiro,Mozambique,Rio de Janeiro,1822,455,168
157,NS da Boa Viagem Abismo,"Pernambuco, port unspecified",Luanda,Rio de Janeiro,1822,239,66
158,General Sampaio,Lisbon,Luanda,Rio de Janeiro,1822,352,113
159,General Silveira,"Southeast Brazil, port unspecified",Quilimane,Rio de Janeiro,1822,406,54
160,Conde dos Arcos,Rio de Janeiro,Quilimane,Rio de Janeiro,1822,425,52
161,Mariana Dáfne,Rio de Janeiro,Luanda,Rio de Janeiro,1822,375,104
162,Feliz Eugênia,Rio de Janeiro,Mozambique,Rio de Janeiro,1822,455,217
163,S Antônio Destemido (a) S Amaro,Rio de Janeiro,Luanda,Rio de Janeiro,1822,519,228
164,Maria,Rio de Janeiro,Cabinda,Rio de Janeiro,1822,379,69
165,S Rosa,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1822,291,22
166,NS do Baluarte,"Southeast Brazil, port unspecified",Quilimane,Rio de Janeiro,1822,203,215
167,S José Diligente Vulcano,Rio de Janeiro,Luanda,Rio de Janeiro,1822,362,28
168,NS da Conceição e Sr dos Passos,Rio de Janeiro,Luanda,Rio de Janeiro,1822,400,49
169,Reino do Brasil,Rio de Janeiro,Benguela,Rio de Janeiro,1822,388,37
170,Grão Penedo,Rio de Janeiro,Cabinda,Rio de Janeiro,1822,432,27
171,Urânia,Rio de Janeiro,Luanda,Rio de Janeiro,1822,268,34
172,Amália,Rio de Janeiro,Luanda,Rio de Janeiro,1822,607,153
173,Santana Flor de Luanda,Rio de Janeiro,Cabinda,Rio de Janeiro,1822,533,12
174,Ligeiro,Rio de Janeiro,Benguela,Rio de Janeiro,1822,390,18
175,S José Diligente,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1822,428,
176,Mercantil,Rio de Janeiro,Luanda,Rio de Janeiro,1822,695,38
177,Seis de Fevereiro,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,1822,466,1
178,Flor do Brasil,Rio de Janeiro,Luanda,Rio de Janeiro,1822,572,83
179,Caçador,Rio de Janeiro,Luanda,Rio de Janeiro,1822,535,60
180,Tejo,Rio de Janeiro,Luanda,Rio de Janeiro,1822,376,96
181,Adamastor,Rio de Janeiro,Benguela,Rio de Janeiro,1822,524,1
182,Marquês de Pombal,Lisbon,Benguela,Rio de Janeiro,1822,298,2
183,Vitória,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,1822,100,
184,General Rêgo,Rio de Janeiro,Luanda,Rio de Janeiro,1822,467,48
185,Polifemo,Rio de Janeiro,Cabinda,Rio de Janeiro,1822,434,4
186,Trajano,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,1822,407,3
187,Bela Americana,Rio de Janeiro,Cabinda,Rio de Janeiro,1822,351,
188,Golfinho,Rio de Janeiro,Cabinda,Rio de Janeiro,1822,470,
189,Paquete do Rio,Rio de Janeiro,Cabinda,Rio de Janeiro,1822,495,4
190,Esperança,Rio de Janeiro,Luanda,Rio de Janeiro,1822,561,13
191,Esperança,Rio de Janeiro,Benguela,Rio de Janeiro,1822,425,6
192,Imperador Feliz,Rio de Janeiro,Luanda,Rio de Janeiro,1822,541,76
193,Aurora do Cabo,Rio de Janeiro,Quilimane,Rio de Janeiro,1822,452,45
194,Triunfo do Brasil,Rio de Janeiro,Cabinda,Rio de Janeiro,1822,335,3
195,Africano Constitucional,"Southeast Brazil, port unspecified",Quilimane,Rio de Janeiro,1822,590,49
196,NS da Conceição e Sr dos Passos,Rio de Janeiro,Luanda,Rio de Janeiro,1822,418,33
197,Pastora de Lima,Rio de Janeiro,Benguela,Rio de Janeiro,1822,460,7
198,Santana Flor da África,"Bahia, port unspecified","Bight of Benin, port unspecified","Bahia, port unspecified",1822,216,12
199,Sacramento,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",1822,196,5
